step	accuracy
0	0.06408094614744186
1	0.13322091102600098
2	0.23271501064300537
3	0.2748735249042511
4	0.34232714772224426
5	0.3912310302257538
6	0.4165261387825012
7	0.4839797616004944
8	0.53794264793396
9	0.5480607151985168
10	0.5885328650474548
11	0.6779089570045471
12	0.6998313665390015
13	0.6846542954444885
14	0.6543001532554626
15	0.7099494338035583
16	0.7116357684135437
17	0.6947723627090454
18	0.7234401106834412
19	0.7622259855270386
20	0.7942664623260498
21	0.826306939125061
22	0.8414839506149292
23	0.7959527969360352
24	0.8296796083450317
25	0.8212478756904602
26	0.8549746870994568
27	0.8566610217094421
28	0.907251238822937
29	0.9291737079620361
30	0.728499174118042
31	0.6998313665390015
32	0.6846542954444885
33	0.8010118007659912
34	0.8954468965530396
35	0.9342327117919922
36	0.9156829714775085
37	0.9696458578109741
38	0.9645868539810181
39	0.959527850151062
40	0.959527850151062
41	0.9747048616409302
42	0.9730185270309448
43	0.9747048616409302
44	0.9865092635154724
45	0.9848229289054871
46	0.9865092635154724
47	0.9629005193710327
48	0.9747048616409302
49	0.9898819327354431
50	0.9814502596855164
51	0.9831365942955017
52	0.9881955981254578
53	0.9848229289054871
54	0.9865092635154724
55	0.9814502596855164
56	0.9561551213264465
57	0.9409780502319336
58	0.9376053810119629
59	0.9544687867164612
60	0.9612141847610474
61	0.9713321924209595
62	0.9629005193710327
63	0.9274873733520508
64	0.9561551213264465
65	0.9645868539810181
66	0.9780775904655457
67	0.9696458578109741
68	0.9865092635154724
69	0.994940996170044
70	0.9932546615600586
71	0.9966273307800293
72	0.9983136653900146
73	0.9966273307800293
74	0.9966273307800293
75	1.0
76	1.0
77	0.9983136653900146
78	0.9983136653900146
79	0.9983136653900146
80	0.9983136653900146
81	1.0
82	0.9966273307800293
83	0.9983136653900146
84	0.9966273307800293
85	0.9983136653900146
86	0.9983136653900146
87	0.9983136653900146
88	0.9983136653900146
89	0.9966273307800293
90	0.9983136653900146
91	0.9983136653900146
92	0.9983136653900146
93	1.0
94	0.9966273307800293
95	0.9983136653900146
96	0.9966273307800293
97	0.9983136653900146
98	0.9983136653900146
