step	loss
0	2.765007972717285
1	2.692631244659424
2	2.5827231407165527
3	2.444734811782837
4	2.2968943119049072
5	2.1490185260772705
6	2.0217125415802
7	1.8651796579360962
8	1.6960103511810303
9	1.5958504676818848
10	1.5429431200027466
11	1.342450499534607
12	1.1694769859313965
13	1.1494330167770386
14	1.132656216621399
15	0.9762863516807556
16	0.9419233798980713
17	0.9540846943855286
18	0.9303207993507385
19	0.8185181617736816
20	0.6933777928352356
21	0.6312376856803894
22	0.5884024500846863
23	0.652423083782196
24	0.6108772158622742
25	0.5951993465423584
26	0.4803211987018585
27	0.46109235286712646
28	0.34119945764541626
29	0.2992013990879059
30	0.8165321946144104
31	0.8623836040496826
32	0.9262043833732605
33	0.6210982203483582
34	0.4105781614780426
35	0.3129160404205322
36	0.2731603980064392
37	0.19893686473369598
38	0.18262477219104767
39	0.17823031544685364
40	0.16044285893440247
41	0.12356273084878922
42	0.13613854348659515
43	0.1169670969247818
44	0.09711304306983948
45	0.09237930923700333
46	0.0894741639494896
47	0.11049991846084595
48	0.11303769797086716
49	0.07700628787279129
50	0.08720575273036957
51	0.09243584424257278
52	0.06465159356594086
53	0.056611862033605576
54	0.055236756801605225
55	0.06374187767505646
56	0.1372646540403366
57	0.2125617116689682
58	0.19476847350597382
59	0.13941556215286255
60	0.1615200787782669
61	0.10657330602407455
62	0.1355310082435608
63	0.2076083868741989
64	0.13391737639904022
65	0.15235422551631927
66	0.0775374248623848
67	0.10261368751525879
68	0.06528235226869583
69	0.04283469542860985
70	0.041323285549879074
71	0.02791481651365757
72	0.023100441321730614
73	0.033734921365976334
74	0.025219956412911415
75	0.016739610582590103
76	0.013874786905944347
77	0.014173999428749084
78	0.013727964833378792
79	0.011697747744619846
80	0.012890622951090336
81	0.010458406060934067
82	0.015952622517943382
83	0.009171807207167149
84	0.01700497791171074
85	0.010426465421915054
86	0.013369640335440636
87	0.008808127604424953
88	0.011833801865577698
89	0.011764975264668465
90	0.012049736455082893
91	0.009131216444075108
92	0.009261471219360828
93	0.0075427209958434105
94	0.009996514767408371
95	0.006959361024200916
96	0.012321244925260544
97	0.008019395172595978
98	0.011995082721114159
